gene_id,Gene Name,Gene Length
AAC73658.1,DLP12 prophage; prophage lipoprotein BorD,97
AAC73659.2,DLP12 prophage; DUF1398 domain-containing protein YbcV,136
AAC73660.1,DLP12 prophage; uncharacterized protein YbcW,68
AAC73661.1,DLP12 prophage; putative DNA-packaging protein NohD,181
AAC73665.1,DLP12 prophage; DNA-binding transcriptional activator AppY,249
AAC73666.1,DLP12 prophage; protease 7,317
AAC73667.1,DNA-binding transcriptional activator EnvY,253
AAC73668.1,DUF4434 domain-containing protein YbcH,296
AAC73669.1,bacteriophage N4 outer membrane receptor,990
AAC73670.1,bacteriophage N4 adsorption protein,745
AAC73671.1,sensor histidine kinase CusS,480
AAC73672.1,DNA-binding transcriptional activator CusR,227
AAC73673.1,copper/silver export system outer membrane channel,457
AAC73674.1,copper/silver export system periplasmic binding protein,110
AAC73675.1,copper/silver export system membrane fusion protein,407
AAC73676.1,copper/silver export system RND permease,1047
AAC73677.1,phenylalanine:H(+) symporter PheP,458
AAC73678.1,miniconductance mechanosensitive channel YbdG,415
AAC73679.1,NAD(P)H nitroreductase NfsB,217
AAC73680.1,PF04237 family protein YbdF,122
AAC73681.1,DUF1158 domain-containing protein YbdJ,82
AAC73682.1,carboxylate-amine ligase,372
AAC73683.1,IS186/IS421 transposase,370
AAC73684.2,phosphopantetheinyl transferase EntD,206
AAC73685.1,ferric enterobactin outer membrane transporter,746
AAC73686.2,ferric enterobactin esterase,400
AAC73687.1,apo-serine activating enzyme,1293
AAC73688.1,polysaccharide co-polymerase family protein FepE,377
AAC73689.1,ferric enterobactin ABC transporter ATP binding subunit,271
AAC73690.1,ferric enterobactin ABC transporter membrane subunit FepG,330
AAC73691.1,ferric enterobactin ABC transporter membrane subunit FebD,334
AAC73692.1,enterobactin exporter EntS,416
AAC73693.1,ferric enterobactin ABC transporter periplasmic binding protein,318
AAC73694.1,isochorismate synthase EntC,391
AAC73695.1,2 3-dihydroxybenzoate-AMP ligase,536
AAC73696.1,enterobactin synthase component B,285
AAC73697.1,2 3-dihydro-2 3-dihydroxybenzoate dehydrogenase,248
AAC73698.1,proofreading thioesterase in enterobactin biosynthesis,137
AAC73699.1,carbon starvation protein A,701
AAC73700.1,hydroxycarboxylate dehydrogenase A,362
AAC73701.1,methionine transaminase,386
AAC73702.1,ParB-like nuclease domain-containing protein YbdM,209
AAC73703.1,putative PAPS reductase/DUF3440 domain-containing protein YbdN,406
AAC73704.1,putative LysR family DNA-binding transcriptional regulator YbdO,300
AAC73705.2,protein sulfenic acid reductase and chaperone DsbG,248
AAC73706.1,alkyl hydroperoxide reductase  AhpC component,187
AAC73707.2,alkyl hydroperoxide reductase  AhpF component,521
AAC73708.1,universal stress protein G,142
AAC73709.1,putative Zn(2(+))-dependent alcohol dehydrogenase YbdR,412
AAC73711.1,nucleoside diphosphate kinase regulator,136
AAC73712.1,RNase I,268
AAC73713.1,citrate:succinate antiporter,487
AAC73714.1,triphosphoribosyl-dephospho-CoA synthase,292
AAC73715.1,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,183
AAC73716.1,citrate lyase alpha subunit,510
AAC73717.2,citrate lyase beta subunit,302
AAC73718.1,citrate lyase acyl carrier protein,98
AAC73719.2,citrate lyase synthetase,352
AAC73720.1,sensor histidine kinase DpiB,552
AAC73721.1,DNA-binding transcriptional dual regulator DpiA,226
AAC73722.1,anaerobic C4-dicarboxylate transporter DcuC,461
AAC73723.1,Lipid A palmitoyltransferase,186
AAC73724.1,transcription antiterminator and regulator of RNA stability,69
AAC73725.1,F(-) channel,127
AAC73728.1,twin arginine protein translocation system - TatE protein,67
AAC73729.1,lipoyl synthase,321
AAC73730.2,putative LysR-type DNA-binding transcriptional regulator YbeF,317
AAC73731.2,lipoyl(octanoyl) transferase,213
AAC73732.1,DUF493 domain-containing protein YbeD,87
AAC73733.1,D-alanyl-D-alanine carboxypeptidase DacA,403
AAC73734.1,rare lipoprotein RlpA,362
AAC73735.1,SEDS family protein MrdB,370
AAC73736.1,peptidoglycan DD-transpeptidase MrdA,633
AAC73737.1,23S rRNA m(3)psi1915 methyltransferase,155
AAC73738.2,ribosomal silencing factor RsfS,105
AAC73739.1,putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase,203
AAC73740.1,nicotinate-mononucleotide adenylyltransferase,213
AAC73741.1,DNA polymerase III subunit delta,343
AAC73742.1,lipopolysaccharide assembly protein LptE,193
AAC73743.1,leucine--tRNA ligase,860
AAC73744.1,DUF1451 domain-containing protein YbeL,160
AAC73745.2,Sel1 repeat-containing protein YbeQ,325
AAC73746.1,DUF1266 domain-containing protein YbeR,235
AAC73747.1,J domain-containing protein DjlB,475
AAC73748.1,Sel1 repeat-containing protein YbeT,184
AAC73749.1,DUF1266 domain-containing protein YbeU,235
AAC73750.1,co-chaperone DjlC,483
AAC73751.1,chaperone protein HscC,556
AAC73752.1,pyrimidine-specific ribonucleoside hydrolase RihA,311
AAC73753.1,glutamate/aspartate ABC transporter ATP binding subunit,241
AAC73754.1,glutamate/aspartate ABC transporter membrane subunit GltK,224
AAC73755.1,glutamate/aspartate ABC transporter membrane subunit GltJ,246
AAC73756.1,glutamate/aspartate ABC transporter periplasmic binding protein,302
AAC73757.2,IS5 transposase and trans-activator,326
AAC73758.1,apolipoprotein N-acyltransferase,512
AAC73759.1,CorC-HlyC family protein YbeX,292
AAC73760.1,endoribonuclease YbeY,155
AAC73761.2,PhoH-like protein,346
AAC73762.1,isopentenyl-adenosine A37 tRNA methylthiolase,474
AAC73763.1,2-octaprenyl-3-methyl-6-methoxy-1 4-benzoquinol hydroxylase,391
AAC73768.1,asparagine synthetase B,554
AAC73769.1,UMP phosphatase,250
AAC73770.1,DNA-binding transcriptional dual regulator NagC,406
AAC73771.1,N-acetylglucosamine-6-phosphate deacetylase,382
AAC73772.1,glucosamine-6-phosphate deaminase,266
AAC73773.1,N-acetylglucosamine-specific PTS enzyme IIABC component,648
AAC73774.1,glutamine--tRNA ligase,554
AAC73775.1,chitobiose outer membrane channel,468
AAC73776.1,lipoprotein ChiQ,108
AAC73777.1,DNA-binding transcriptional dual regulator Fur,148
AAC73778.1,flavodoxin 1,176
AAC73779.2,ribbon-helix-helix domain-containing protein YbfE,97
AAC73780.1,esterase,254
AAC73781.1,negative modulator of initiation of replication,181
AAC73782.1,phosphoglucomutase,546
AAC73783.1,lipoprotein YbfP,164
AAC73786.1,putrescine transporter PotE,439
AAC73787.1,inducible ornithine decarboxylase,732
AAC73788.1,DNA-binding transcriptional activator KdpE,225
AAC73789.1,sensor histidine kinase KdpD,894
AAC73790.1,K(+) transporting P-type ATPase subunit KdpC,190
AAC73791.1,K(+) transporting P-type ATPase subunit KdpB,682
AAC73792.1,K(+) transporting P-type ATPase subunit KdpA,557
AAC73793.1,DUF2517 domain-containing protein YbfA,68
AAC73794.1,rhs element protein RhsC,1397
AAC73796.1,uncharacterized protein YbfB,108
AAC73798.1,uncharacterized protein YbfC,189
AAC73800.1,H repeat-associated putative transposase YbfD,253
AAC73801.1,DUF1722 domain-containing protein YbgA,169
AAC73802.1,deoxyribodipyrimidine photolyase,472
AAC73803.1,dipeptide:H(+) symporter DtpD,493
AAC73804.1,radiation resistance protein YbgI,247
AAC73805.1,5-oxoprolinase component B,218
AAC73806.1,5-oxoprolinase component C,310
AAC73807.1,5-oxoprolinase component A,244
AAC73808.1,endonuclease VIII,263
AAC73809.2,putative regulator,348
AAC73810.2,putative fimbrial protein YbgO,353
AAC73811.1,putative fimbrial chaperone YbgP,242
AAC73812.2,putative fimbrial usher protein YbgQ,815
AAC73813.1,putative fimbrial protein YbgD,188
AAC73814.1,citrate synthase,427
AAC73815.1,succinate:quinone oxidoreductase  membrane protein SdhC,129
AAC73816.1,succinate:quinone oxidoreductase  membrane protein SdhD,115
AAC73817.1,succinate:quinone oxidoreductase  FAD binding protein,588
AAC73818.1,succinate:quinone oxidoreductase  iron-sulfur cluster binding protein,238
AAC73820.1,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,933
AAC73821.1,dihydrolipoyltranssuccinylase,405
AAC73822.1,succinyl-CoA synthetase subunit beta,388
AAC73823.1,succinyl-CoA synthetase subunit alpha,289
AAC73824.1,DNA-binding transcriptional repressor MngR,240
AAC73825.1,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,658
AAC73826.1,alpha-mannosidase,877
AAC73827.2,cytochrome bd-I ubiquinol oxidase subunit I,522
AAC73828.1,cytochrome bd-I ubiquinol oxidase subunit II,379
AAC73829.1,PF09600 family protein YbgE,97
AAC73830.1,esterase/thioesterase,134
AAC73831.1,Tol-Pal system protein TolQ,230
AAC73832.1,Tol-Pal system protein TolR,142
AAC73833.1,Tol-Pal system protein TolA,421
AAC73834.1,Tol-Pal system periplasmic protein TolB,430
AAC73835.1,peptidoglycan-associated outer membrane lipoprotein Pal,173
AAC73836.1,cell division coordinator CpoB,263
AAC73837.1,quinolinate synthase,347
AAC73838.1,nicotinamide riboside transporter,239
AAC73839.1,Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter,313
AAC73840.1,PF13985 family protein YbgS,126
AAC73841.1,3-deoxy-7-phosphoheptulonate synthase  Phe-sensitive,350
AAC73842.1,2 3-bisphosphoglycerate-dependent phosphoglycerate mutase,250
AAC73843.1,galactose-1-epimerase,346
AAC73844.1,galactokinase,382
AAC73845.1,galactose-1-phosphate uridylyltransferase,348
AAC73846.1,UDP-glucose 4-epimerase,338
AAC73847.1,ABC family protein ModF,490
AAC73848.1,DNA-binding transcriptional dual regulator ModE,262
AAC73849.1,multidrug efflux pump accessory protein AcrZ,49
AAC73850.1,molybdate ABC transporter periplasmic binding protein,257
AAC73851.1,molybdate ABC transporter membrane subunit,229
AAC73852.1,molybdate ABC transporter ATP binding subunit,352
AAC73853.1,pyridoxal phosphate/fructose-1 6-bisphosphate phosphatase,272
AAC73854.1,6-phosphogluconolactonase,331
AAC73855.2,putative DNA-binding transcriptional regulator YbhD,317
AAC73856.1,putative isomerase YbhH,350
AAC73857.1,putative tricarboxylate transporter,477
AAC73858.2,putative hydratase YbhJ,753
AAC73859.1,outer membrane lipoprotein YhbC,427
AAC73860.1,putative kinase inhibitor,158
AAC73861.1,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,429
AAC73862.1,biotin synthase,346
AAC73863.1,8-amino-7-oxononanoate synthase,384
AAC73864.1,malonyl-acyl carrier protein methyltransferase,251
AAC73865.1,dethiobiotin synthetase,225
AAC73866.1,excision nuclease subunit B,673
AAC73867.1,putative transferase YbhK,302
AAC73868.1,GTP 3' 8'-cyclase,329
AAC73869.1,protein MoaB,170
AAC73870.1,cyclic pyranopterin monophosphate synthase,161
AAC73871.1,molybdopterin synthase sulfur carrier subunit,81
AAC73872.1,molybdopterin synthase catalytic subunit,150
AAC73873.1,Bax1-I family protein YbhL,234
AAC73874.1,Bax1-I family protein YbhM,237
AAC73875.1,PF03706 family inner membrane protein YbhN,318
AAC73876.1,cardiolipin synthase B,413
AAC73877.1,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,253
AAC73878.1,putative inner membrane protein,136
AAC73879.1,ABC exporter membrane subunit YbhR,368
AAC73880.1,ABC exporter membrane subunit YbhS,377
AAC73881.2,ABC exporter ATP binding subunit YbhF,578
AAC73882.1,HlyD_D23 family protein YbhG,332
AAC73883.2,DNA-binding transcriptional dual regulator CecR,223
AAC73884.1,ATP-dependent RNA helicase RhlE,454
AAC73885.1,N-glycosidase YbiA,160
AAC73886.1,ATP-dependent DNA helicase DinG,716
AAC73887.1,nonspecific DNA-binding protein YbiB,320
AAC73888.1,hydroxycarboxylate dehydrogenase B,361
AAC73889.1,DUF1471 domain-containing protein YbiJ,86
AAC73890.1,zinc finger domain-containing protein YbiI,88
AAC73891.2,PKHD-type hydroxylase YbiX,225
AAC73892.1,iron catecholate outer membrane transporter Fiu,760
AAC73893.2,DUF1471 domain-containing protein McbA,86
AAC73894.2,23S rRNA m(6)A1618 methyltransferase,308
AAC73895.2,moderate conductance mechanosensitive channel YbiO,741
AAC73896.1,L-glutamine ABC transporter ATP binding subunit,240
AAC73897.1,L-glutamine ABC transporter membrane subunit,219
AAC73898.1,L-glutamine ABC transporter periplasmic binding protein,248
AAC73899.1,DNA protection during starvation protein,167
AAC73900.1,L-threonine/L-homoserine exporter,295
AAC73901.1,outer membrane protein X,171
AAC73902.1,phosphoethanolamine transferase,527
AAC73904.1,DNA-binding transcriptional dual regulator MntR,155
AAC73905.1,putative transporter YbiR,372
AAC73906.1,L D-transpeptidase LdtB,306
AAC73907.1,putative ATP-binding protein YbiT,530
AAC73908.1,DUF1479 domain-containing protein YbiU,421
AAC73909.1,sugar phosphatase YbiV,271
AAC73910.1,putative pyruvate formate lyase,810
AAC73911.2,putative pyruvate formate-lyase activating enzyme YbiY,299
AAC73912.2,fructose-6-phosphate aldolase 1,220
AAC73913.1,molybdopterin-synthase adenylyltransferase,249
AAC73914.1,molybdopterin molybdotransferase,411
AAC73915.1,isoaspartyl dipeptidase proenzyme,321
AAC73916.2,glutathione ABC transporter ATP binding subunit GsiA,623
AAC73917.1,glutathione ABC transporter periplasmic binding protein,512
AAC73918.1,glutathione ABC transporter membrane subunit GsiC,306
AAC73919.1,glutathione ABC transporter membrane subunit GsiD,303
AAC73920.1,putative c-di-GMP phosphodiesterase PdeI,782
AAC73921.1,putative diguanylate cyclase DgcI,442
AAC73922.1,ribosomal protein S12 methylthiotransferase RimO,441
AAC73923.1,regulator of biofilm formation,127
AAC73924.1,aldose sugar dehydrogenase YliI,371
AAC73925.2,glutathione S-transferase GstB,208
AAC73926.1,D-alanyl-D-alanine carboxypeptidase DacC,400
AAC73927.1,DNA-binding transcriptional repressor DeoR,252
AAC73928.1,undecaprenyl pyrophosphate phosphatase,198
AAC73929.1,multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter,410
AAC73930.1,uncharacterized protein YbjH,94
AAC73931.2,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,271
AAC73932.1,inner membrane protein YbjJ,402
AAC73933.1,DNA-binding transcriptional regulator RcdA,178
AAC73934.1,putative transport protein YbjL,561
AAC73935.1,putative inner membrane protein,125
AAC73936.1,reduced glutaredoxin 1,85
AAC73937.1,DUF1418 domain-containing protein YbjC,95
AAC73938.1,NADPH-dependent nitroreductase NfsA,240
AAC73939.1,ribosomal protein S6 modification protein,300
AAC73940.1,protein YbjN,158
AAC73941.1,putrescine ABC transporter periplasmic binding protein,370
AAC73942.2,putrescine ABC transporter ATP binding subunit,377
AAC73943.1,putrescine ABC transporter membrane subunit PotH,317
AAC73944.1,putrescine ABC transporter membrane subunit PotI,281
AAC73945.1,putative inner membrane protein,162
AAC73946.1,23S rRNA m(5)U747 methyltransferase,375
AAC73947.1,L-arginine ABC transporter periplasmic binding protein,243
AAC73948.1,L-arginine ABC transporter membrane subunit ArtM,222
AAC73949.1,L-arginine ABC transporter membrane subunit ArtQ,238
AAC73950.1,putative ABC transporter periplasmic binding protein ArtI,243
AAC73951.1,L-arginine ABC transporter ATP binding subunit,242
AAC73952.1,DUF3828 domain-containing lipoprotein YbjP,171
AAC73953.1,putative heavy metal binding protein YbjQ,107
AAC73954.1,N-acetylmuramoyl-L-alanine amidase D,276
AAC73955.2,putative epimerase YbjS,337
AAC73956.2,putative NAD(P)-dependent oxidoreductase YbjT,476
AAC73957.1,low-specificity L-threonine aldolase,333
AAC73958.1,pyruvate oxidase,572
AAC73959.1,NADH oxidoreductase,322
AAC73960.2,protein S-nitrosylase,550
AAC73961.2,L-lysine exporter,299
AAC73962.1,water channel AqpZ,231
AAC73963.1,DUF2813 domain-containing protein YbjD,552
AAC73964.1,DUF535 domain-containing protein YbjX,330
AAC73965.2,ABC-type tripartite efflux pump membrane fusion protein,371
AAC73966.1,ABC-type tripartite efflux pump ATP binding/membrane subunit,648
AAC73967.1,DNA replication inhibitor CspD,74
AAC73968.1,specificity factor for ClpA-ClpP chaperone-protease complex,106
AAC73969.1,ATP-dependent Clp protease ATP-binding subunit ClpA,758
AAC73970.1,translation initiation factor IF-1,72
AAC73971.1,leucyl/phenylalanyl-tRNA--protein transferase,234
AAC73972.1,glutathione/L-cysteine ABC exporter subunit CydC,573
AAC73973.1,glutathione/L-cysteine ABC exporter subunit CydD,588
AAC73974.1,thioredoxin reductase,321
AAC73975.1,DNA-binding transcriptional dual regulator Lrp,164
AAC73976.1,cell division DNA translocase FtsK,1329
AAC73977.2,outer membrane lipoprotein carrier protein,203
AAC73978.1,replication-associated recombination protein A,447
AAC73979.1,serine--tRNA ligase,430
AAC73980.2,dimethyl sulfoxide reductase subunit A,814
AAC73981.1,dimethyl sulfoxide reductase subunit B,205
AAC73982.1,dimethyl sulfoxide reductase subunit C,287
AAC73983.1,putative hydrolase,208
AAC73984.1,putative transporter YcaD,382
AAC73985.2,putative transporter YcaM,476
AAC73986.1,putative LysR-type transcriptional regulator YcaN,302
AAC73987.1,putative NAD(P)H-dependent oxidoreductase YcaK,196
AAC73988.1,pyruvate formate-lyase activating enzyme,246
AAC73989.1,pyruvate formate-lyase,760
AAC73990.1,formate channel FocA,285
AAC73991.2,ribosomal protein S12 methylthiotransferase accessory factor YcaO,586
AAC73992.1,DUF421 domain-containing protein YcaP,230
AAC73993.1,phosphoserine/phosphohydroxythreonine aminotransferase,362
AAC73994.1,3-phosphoshikimate 1-carboxyvinyltransferase,427
AAC73995.2,periplasmic protease YcaL,254
AAC73996.1,cytidylate kinase,227
AAC73997.1,30S ribosomal subunit protein S1,557
AAC73998.1,integration host factor subunit beta,94
AAC73999.2,metallo-beta-lactamase superfamily inner membrane protein YcaI,754
AAC74000.1,ATP-binding lipopolysaccharide transport protein,582
AAC74001.1,tetraacyldisaccharide 4'-kinase,328
AAC74002.1,interstrand DNA crosslink repair glycosylase,410
AAC74003.1,UPF0434 family protein YcaR,60
AAC74004.1,3-deoxy-manno-octulosonate cytidylyltransferase,248
AAC74005.1,putative phosphotransferase YcbJ,297
AAC74006.1,envelope biogenesis factor,259
AAC74007.1,tRNA cmo(5)U34 methyltransferase,261
AAC74008.1,chromosome partitioning protein MukF,440
AAC74009.2,chromosome partitioning protein MukE,234
AAC74010.1,chromosome partitioning protein MukB,1486
AAC74011.1,L D-transpeptidase LdtD,615
AAC74012.1,peptidoglycan LD-endopeptidase,182
AAC74013.1,hydroxyacylglutathione hydrolase GloC,215
AAC74014.1,aspartate aminotransferase,396
AAC74015.1,outer membrane porin F,362
AAC74016.1,asparagine--tRNA ligase,466
AAC74017.1,nicotinate phosphoribosyltransferase,400
AAC74018.1,aminopeptidase N,870
AAC74019.1,aliphatic sulfonate ABC transporter ATP binding subunit,255
AAC74020.2,aliphatic sulfonate ABC transporter membrane subunit,263
AAC74021.1,FMNH2-dependent alkanesulfonate monooxygenase,381
AAC74022.2,aliphatic sulfonate ABC transporter periplasmic binding protein,319
AAC74023.1,NADPH-dependent FMN reductase,191
AAC74024.2,putative laminin-binding fimbrial subunit,179
AAC74025.1,putative fimbrial chaperone ElfD,233
AAC74026.1,putative fimbrial usher protein ElfC,866
AAC74027.1,putative fimbrial-like adhesin protein,356
